id,name,link
accommodation_ChIJpc-0HmStNTERw-ercVi_8p0,A25 Signature Hotel - 684 Minh Khai,https://www.google.com/maps/place/A25+Signature+Hotel+-+684+Minh+Khai/data=!4m10!3m9!1s0x3135ad641eb4cfa5:0x9df2bf5871abe7c3!5m2!4m1!1i2!8m2!3d21.000652!4d105.8710087!16s%2Fg%2F1pxwqdm8y!19sChIJpc-0HmStNTERw-ercVi_8p0?authuser=0&hl=en&rclk=1
accommodation_ChIJPX0v8JarNTERizl6YUwG558,Acoustic Hotel & Spa,https://www.google.com/maps/place/Acoustic+Hotel+%26+Spa/data=!4m10!3m9!1s0x3135ab96f02f7d3d:0x9fe7064c617a398b!5m2!4m1!1i2!8m2!3d21.0276833!4d105.8445803!16s%2Fg%2F11h2jv601c!19sChIJPX0v8JarNTERizl6YUwG558?authuser=0&hl=en&rclk=1
accommodation_ChIJx7xVYb-rNTERc4FQYhB7QfM,AIRA Boutique Hanoi Hotel & Spa,https://www.google.com/maps/place/AIRA+Boutique+Hanoi+Hotel+%26+Spa/data=!4m10!3m9!1s0x3135abbf6155bcc7:0xf3417b1062508173!5m2!4m1!1i2!8m2!3d21.0307215!4d105.8418808!16s%2Fg%2F11c5bs71_9!19sChIJx7xVYb-rNTERc4FQYhB7QfM?authuser=0&hl=en&rclk=1
accommodation_ChIJQ5MA3wmrNTERV7sLCHspQDo,ALà Home,https://www.google.com/maps/place/AL%C3%A0+Home/data=!4m10!3m9!1s0x3135ab09df009343:0x3a40297b080bbb57!5m2!4m1!1i2!8m2!3d21.0528524!4d105.8350816!16s%2Fg%2F11jyk0grzd!19sChIJQ5MA3wmrNTERV7sLCHspQDo?authuser=0&hl=en&rclk=1
accommodation_ChIJa4nDzGFTNDEROv1rhhpm8dM,1001 Urban Retreat,https://www.google.com/maps/place/1001+Urban+Retreat/data=!4m7!3m6!1s0x31345361ccc3896b:0xd3f1661a866bfd3a!8m2!3d20.9674279!4d105.7574311!16s%2Fg%2F11r9f1q_r3!19sChIJa4nDzGFTNDEROv1rhhpm8dM?authuser=0&hl=en&rclk=1
travel_place_ChIJjdaqFhyrNTERR7032nCkLs0,22Land Moon West Lake - Studio Apartment,https://www.google.com/maps/place/22Land+Moon+West+Lake+-+Studio+Apartment/data=!4m11!3m10!1s0x3135ab1c16aad68d:0xcd2ea470da37bd47!5m2!4m1!1i2!8m2!3d21.0527096!4d105.8125!16s%2Fg%2F11md27fwq1!17BQ0FF!19sChIJjdaqFhyrNTERR7032nCkLs0?authuser=0&hl=en&rclk=1
accommodation_ChIJzXg_Wj2rNTER-aC5f8-QXmM,22land Residence Hotel & Spa Hanoi,https://www.google.com/maps/place/22land+Residence+Hotel+%26+Spa+Hanoi/data=!4m10!3m9!1s0x3135ab3d5a3f78cd:0x635e90cf7fb9a0f9!5m2!4m1!1i2!8m2!3d21.045847!4d105.8049919!16s%2Fg%2F11gmwfgc6s!19sChIJzXg_Wj2rNTER-aC5f8-QXmM?authuser=0&hl=en&rclk=1
accommodation_ChIJHy8zd1yrNTERnSKIq8gyVxA,29 Homestay Cầu Giấy,https://www.google.com/maps/place/29+Homestay+C%E1%BA%A7u+Gi%E1%BA%A5y/data=!4m10!3m9!1s0x3135ab5c77332f1f:0x105732c8ab88229d!5m2!4m1!1i2!8m2!3d21.0200145!4d105.8000687!16s%2Fg%2F11l668k3l9!19sChIJHy8zd1yrNTERnSKIq8gyVxA?authuser=0&hl=en&rclk=1
accommodation_ChIJq6rjzHasNTER24FlLuJJIfE,Alley homestay,https://www.google.com/maps/place/Alley+homestay/data=!4m10!3m9!1s0x3135ac76cce3aaab:0xf12149e22e6581db!5m2!4m1!1i2!8m2!3d21.0022595!4d105.8445218!16s%2Fg%2F11t4f0d548!19sChIJq6rjzHasNTER24FlLuJJIfE?authuser=0&hl=en&rclk=1
accommodation_ChIJO5IdMywDNTERz2UHyqkyICQ,Amaya Retreat,https://www.google.com/maps/place/Amaya+Retreat/data=!4m10!3m9!1s0x3135032c331d923b:0x242032a9ca0765cf!5m2!4m1!1i2!8m2!3d21.290046!4d105.7842178!16s%2Fg%2F11tc1212wc!19sChIJO5IdMywDNTERz2UHyqkyICQ?authuser=0&hl=en&rclk=1
accommodation_ChIJo-2_qLVhNDERZoHE506UFSc,Amour Resort Bavi,https://www.google.com/maps/place/Amour+Resort+Bavi/data=!4m10!3m9!1s0x313461b5a8bfeda3:0x2715944ee7c48166!5m2!4m1!1i2!8m2!3d21.0850413!4d105.3762544!16s%2Fg%2F11s6nrq3hk!19sChIJo-2_qLVhNDERZoHE506UFSc?authuser=0&hl=en&rclk=1
accommodation_ChIJT7vd8aSrNTERFMvdgA1VHtE,An Homestay,https://www.google.com/maps/place/An+Homestay/data=!4m10!3m9!1s0x3135aba4f1ddbb4f:0xd11e550d80ddcb14!5m2!4m1!1i2!8m2!3d21.0454053!4d105.8155244!16s%2Fg%2F11ysh_hvtp!19sChIJT7vd8aSrNTERFMvdgA1VHtE?authuser=0&hl=en&rclk=1
accommodation_ChIJcT9Qqg9fNDER40EYC2k2i90,Annam Garden,https://www.google.com/maps/place/Annam+Garden/data=!4m10!3m9!1s0x31345f0faa503f71:0xdd8b36690b1841e3!5m2!4m1!1i2!8m2!3d21.0605462!4d105.4082904!16s%2Fg%2F11j53qg7nf!19sChIJcT9Qqg9fNDER40EYC2k2i90?authuser=0&hl=en&rclk=1
accommodation_ChIJq0operCrNTERx5xAtkqhMuE,An Nguyen Lakeside Residence,https://www.google.com/maps/place/An+Nguyen+Lakeside+Residence/data=!4m10!3m9!1s0x3135abb07a294aab:0xe132a14ab6409cc7!5m2!4m1!1i2!8m2!3d21.0482875!4d105.8408545!16s%2Fg%2F11yb4dlpx2!19sChIJq0operCrNTERx5xAtkqhMuE?authuser=0&hl=en&rclk=1
accommodation_ChIJZ6EguZSrNTERWNKacZn1-iM,Annie's Little Hanoi,https://www.google.com/maps/place/Annie%27s+Little+Hanoi/data=!4m10!3m9!1s0x3135ab94b920a167:0x23faf599719ad258!5m2!4m1!1i2!8m2!3d21.0343085!4d105.8518399!16s%2Fg%2F11dzdh3wqz!19sChIJZ6EguZSrNTERWNKacZn1-iM?authuser=0&hl=en&rclk=1
accommodation_ChIJ5bFft-OtNTERmUyVBxV2SB8,Ann's Home Ha Noi,https://www.google.com/maps/place/Ann%27s+Home+Ha+Noi/data=!4m10!3m9!1s0x3135ade3b75fb1e5:0x1f48761507954c99!5m2!4m1!1i2!8m2!3d20.986223!4d105.8153782!16s%2Fg%2F11xn3kx49g!19sChIJ5bFft-OtNTERmUyVBxV2SB8?authuser=0&hl=en&rclk=1
accommodation_ChIJ1crhVAlVNDER6FyVD4Q0gY4,An Phú Hà Nội Hotel & Spa (Gần Bến Xe Mỹ Đình),https://www.google.com/maps/place/An+Ph%C3%BA+H%C3%A0+N%E1%BB%99i+Hotel+%26+Spa+%28G%E1%BA%A7n+B%E1%BA%BFn+Xe+M%E1%BB%B9+%C4%90%C3%ACnh%29/data=!4m10!3m9!1s0x3134550954e1cad5:0x8e8134840f955ce8!5m2!4m1!1i2!8m2!3d21.0284634!4d105.7760305!16s%2Fg%2F11r49gt_6y!19sChIJ1crhVAlVNDER6FyVD4Q0gY4?authuser=0&hl=en&rclk=1
accommodation_ChIJe2YII5WrNTERVlgmPi7tmds,Apricot Hotel,https://www.google.com/maps/place/Apricot+Hotel/data=!4m10!3m9!1s0x3135ab952308667b:0xdb99ed2e3e265856!5m2!4m1!1i2!8m2!3d21.0282089!4d105.8508662!16s%2Fg%2F11b6hwdfsv!19sChIJe2YII5WrNTERVlgmPi7tmds?authuser=0&hl=en&rclk=1
travel_place_ChIJk3hp-uNbNDERIjimuqsDnRA,Asean Resort,https://www.google.com/maps/place/Asean+Resort/data=!4m10!3m9!1s0x31345be3fa697893:0x109d03abbaa63822!5m2!4m1!1i2!8m2!3d21.032992!4d105.5138889!16s%2Fg%2F11vrp12h5t!19sChIJk3hp-uNbNDERIjimuqsDnRA?authuser=0&hl=en&rclk=1
accommodation_ChIJx77xKvKrNTER10q3B3wXxo8,Atlanta Residences,https://www.google.com/maps/place/Atlanta+Residences/data=!4m10!3m9!1s0x3135abf22af1bec7:0x8fc6177c07b74ad7!5m2!4m1!1i2!8m2!3d21.0161859!4d105.8579515!16s%2Fg%2F1tjhv3rf!19sChIJx77xKvKrNTER10q3B3wXxo8?authuser=0&hl=en&rclk=1
accommodation_ChIJ8QXD7oCrNTER7-GLHcy_4JY,Aurora Central Hotel,https://www.google.com/maps/place/Aurora+Central+Hotel/data=!4m10!3m9!1s0x3135ab80eec305f1:0x96e0bfcc1d8be1ef!5m2!4m1!1i2!8m2!3d21.0370745!4d105.8510936!16s%2Fg%2F11y6204zxh!19sChIJ8QXD7oCrNTER7-GLHcy_4JY?authuser=0&hl=en&rclk=1
accommodation_ChIJIQxydcurNTERsVVC6CZ4q10,Aurora Oriental Hotel,https://www.google.com/maps/place/Aurora+Oriental+Hotel/data=!4m10!3m9!1s0x3135abcb75720c21:0x5dab7826e84255b1!5m2!4m1!1i2!8m2!3d21.0300953!4d105.8548492!16s%2Fg%2F11x7pbvx5q!19sChIJIQxydcurNTERsVVC6CZ4q10?authuser=0&hl=en&rclk=1
accommodation_ChIJ09k5XWmrNTER7gqU3Lzm9wM,Azumaya Ha Noi 2,https://www.google.com/maps/place/Azumaya+Ha+Noi+2/data=!4m10!3m9!1s0x3135ab695d39d9d3:0x3f7e6bcdc940aee!5m2!4m1!1i2!8m2!3d21.0283207!4d105.8102788!16s%2Fg%2F11bysjqztd!19sChIJ09k5XWmrNTER7gqU3Lzm9wM?authuser=0&hl=en&rclk=1
accommodation_ChIJhSAnBo2rNTERgNMrOheIxKI,Azumaya Hotel Ha Noi,https://www.google.com/maps/place/Azumaya+Hotel+Ha+Noi/data=!4m10!3m9!1s0x3135ab8d06272085:0xa2c488173a2bd380!5m2!4m1!1i2!8m2!3d21.0182484!4d105.8499166!16s%2Fg%2F1tk6xzdc!19sChIJhSAnBo2rNTERgNMrOheIxKI?authuser=0&hl=en&rclk=1
accommodation_ChIJE_g4jmyrNTERr2pZ31GSMos,Azumaya Hotel Kim Ma 3,https://www.google.com/maps/place/Azumaya+Hotel+Kim+Ma+3/data=!4m10!3m9!1s0x3135ab6c8e38f813:0x8b329251df596aaf!5m2!4m1!1i2!8m2!3d21.0269618!4d105.8100923!16s%2Fg%2F11j0rgzddd!19sChIJE_g4jmyrNTERr2pZ31GSMos?authuser=0&hl=en&rclk=1
accommodation_ChIJ26wYlxSrNTERg5HhatjjfLc,Azumaya Hotel Linh Lang,https://www.google.com/maps/place/Azumaya+Hotel+Linh+Lang/data=!4m10!3m9!1s0x3135ab149718acdb:0xb77ce3d86ae19183!5m2!4m1!1i2!8m2!3d21.0362917!4d105.8104885!16s%2Fg%2F11hczyt3tw!19sChIJ26wYlxSrNTERg5HhatjjfLc?authuser=0&hl=en&rclk=1
accommodation_ChIJXbSySvCrNTERzWyx8VAwbB0,Ba Dinh Le rêveur Homestay,https://www.google.com/maps/place/Ba+Dinh+Le+r%C3%AAveur+Homestay/data=!4m10!3m9!1s0x3135abf04ab2b45d:0x1d6c3050f1b16ccd!5m2!4m1!1i2!8m2!3d21.037577!4d105.8309553!16s%2Fg%2F11txqwbx73!19sChIJXbSySvCrNTERzWyx8VAwbB0?authuser=0&hl=en&rclk=1
accommodation_ChIJh8yZYEarNTERoVhozmweQ7s,Bao Son International Hotel,https://www.google.com/maps/place/Bao+Son+International+Hotel/data=!4m10!3m9!1s0x3135ab68c6fe66c9:0xbb431e6cce6858a1!5m2!4m1!1i2!8m2!3d21.024484!4d105.810482!16s%2Fg%2F1tf6jpcg!19sChIJyWb-xmirNTERoVhozmweQ7s?authuser=0&hl=en&rclk=1
accommodation_ChIJOzlMeTJhNDERSW8O46sFt0U,Ba Vì Daisy Queen,https://www.google.com/maps/place/Ba+V%C3%AC+Daisy+Queen/data=!4m10!3m9!1s0x31346132794c393b:0x45b705abe30e6f49!5m2!4m1!1i2!8m2!3d21.1000888!4d105.3892235!16s%2Fg%2F11fs2kljjj!19sChIJOzlMeTJhNDERSW8O46sFt0U?authuser=0&hl=en&rclk=1
accommodation_ChIJ90e3qORhNDERe-3xC64eTmI,Bavi Myan Maison,https://www.google.com/maps/place/Bavi+Myan+Maison/data=!4m10!3m9!1s0x313461e4a8b747f7:0x624e1eae0bf1ed7b!5m2!4m1!1i2!8m2!3d21.1098706!4d105.3818323!16s%2Fg%2F11p0zf0x44!19sChIJ90e3qORhNDERe-3xC64eTmI?authuser=0&hl=en&rclk=1
accommodation_ChIJZR11K6asNTERSAjm4wJtEwI,Blue Hanoi Inn City Hotel,https://www.google.com/maps/place/Blue+Hanoi+Inn+City+Hotel/data=!4m10!3m9!1s0x3135aca62b751d65:0x2136d02e3e60848!5m2!4m1!1i2!8m2!3d21.010817!4d105.7953294!16s%2Fg%2F11f_d7y9_9!19sChIJZR11K6asNTERSAjm4wJtEwI?authuser=0&hl=en&rclk=1
accommodation_ChIJ4-_xhuWrNTER1GAIL3ch3wE,Blue Home Homestay,https://www.google.com/maps/place/Blue+Home+Homestay/data=!4m10!3m9!1s0x3135abe586f1efe3:0x1df21772f0860d4!5m2!4m1!1i2!8m2!3d21.0361696!4d105.7993267!16s%2Fg%2F11svp9_1ty!19sChIJ4-_xhuWrNTER1GAIL3ch3wE?authuser=0&hl=en&rclk=1
travel_place_ChIJrzWfkXarNTERsweyNwIQG_M,Calidas Landmark72 Royal Residence Hanoi,https://www.google.com/maps/place/Calidas+Landmark72+Royal+Residence+Hanoi/data=!4m10!3m9!1s0x3135ab76919f35af:0xf31b100237b207b3!5m2!4m1!1i2!8m2!3d21.0168359!4d105.7842974!16s%2Fg%2F11p9h32vzt!19sChIJrzWfkXarNTERsweyNwIQG_M?authuser=0&hl=en&rclk=1
accommodation_ChIJeysLiz2rNTER3KKgUoOxxUQ,Capella Hanoi,https://www.google.com/maps/place/Capella+Hanoi/data=!4m10!3m9!1s0x3135ab3d8b0b2b7b:0x44c5b18352a0a2dc!5m2!4m1!1i2!8m2!3d21.0257164!4d105.8566886!16s%2Fg%2F11qn6mmpw4!19sChIJeysLiz2rNTER3KKgUoOxxUQ?authuser=0&hl=en&rclk=1
accommodation_ChIJr8MTS0irNTERIuXo4jYS4dc,Capital Cau Giay Hotel,https://www.google.com/maps/place/Capital+Cau+Giay+Hotel/data=!4m10!3m9!1s0x3135ab484b13c3af:0xd7e11236e2e8e522!5m2!4m1!1i2!8m2!3d21.0341006!4d105.7909899!16s%2Fg%2F11l668b9qj!19sChIJr8MTS0irNTERIuXo4jYS4dc?authuser=0&hl=en&rclk=1
accommodation_ChIJc0g9vGOrNTER2-683p8fBLk,Capital Garden Hotel,https://www.google.com/maps/place/Capital+Garden+Hotel/data=!4m10!3m9!1s0x3135ab63bc3d4873:0xb9041f9fdebceedb!5m2!4m1!1i2!8m2!3d21.0154663!4d105.8131104!16s%2Fg%2F1tdh5x_8!19sChIJc0g9vGOrNTER2-683p8fBLk?authuser=0&hl=en&rclk=1
accommodation_ChIJa8njEparNTERGaryaRuzWMw,Champton Hanoi Hotel,https://www.google.com/maps/place/Champton+Hanoi+Hotel/data=!4m10!3m9!1s0x3135ab9612e3c96b:0xcc58b31b69f2aa19!5m2!4m1!1i2!8m2!3d21.0295635!4d105.8455842!16s%2Fg%2F11bz_wdzp8!19sChIJa8njEparNTERGaryaRuzWMw?authuser=0&hl=en&rclk=1
accommodation_ChIJU0dPAverNTERio5EBEO6SpU,Christina's Hanoi - Secret Garden,https://www.google.com/maps/place/Christina%27s+Hanoi+-+Secret+Garden/data=!4m10!3m9!1s0x3135abf7024f4753:0x954aba4304448e8a!5m2!4m1!1i2!8m2!3d21.0288999!4d105.844301!16s%2Fg%2F11h0c076h2!19sChIJU0dPAverNTERio5EBEO6SpU?authuser=0&hl=en&rclk=1
accommodation_ChIJn7vuoFNTNDERTSIhodUhFck,Chung cư Galia Hà Hội,https://www.google.com/maps/place/Chung+c%C6%B0+Galia+H%C3%A0+H%E1%BB%99i/data=!4m7!3m6!1s0x31345353a0eebb9f:0xc91521d5a121224d!8m2!3d20.9663081!4d105.8754231!16s%2Fg%2F11tszy9jpt!19sChIJn7vuoFNTNDERTSIhodUhFck?authuser=0&hl=en&rclk=1
accommodation_ChIJRwhw0wmrNTER9hva6gYIJVM,"CoCo International Co., Ltd","https://www.google.com/maps/place/CoCo+International+Co.,+Ltd/data=!4m10!3m9!1s0x3135ab09d3700847:0x53250806eada1bf6!5m2!4m1!1i2!8m2!3d21.0422512!4d105.8298566!16s%2Fg%2F1tpf4m5n!19sChIJRwhw0wmrNTER9hva6gYIJVM?authuser=0&hl=en&rclk=1"
accommodation_ChIJ6wkCZJWrNTER2Dknibuozx8,Dal Vostro Hotel & Spa,https://www.google.com/maps/place/Dal+Vostro+Hotel+%26+Spa/data=!4m10!3m9!1s0x3135ab95640209eb:0x1fcfa8bb892739d8!5m2!4m1!1i2!8m2!3d21.0307786!4d105.8501045!16s%2Fg%2F11f5ly8ybj!19sChIJ6wkCZJWrNTER2Dknibuozx8?authuser=0&hl=en&rclk=1
accommodation_ChIJpd1dUs2rNTERWaFoM4CbTno,Dao Anh Khanh Tree House,https://www.google.com/maps/place/Dao+Anh+Khanh+Tree+House/data=!4m10!3m9!1s0x3135abcd525ddda5:0x7a4e9b803368a159!5m2!4m1!1i2!8m2!3d21.0625523!4d105.8671314!16s%2Fg%2F11c55wflh7!19sChIJpd1dUs2rNTERWaFoM4CbTno?authuser=0&hl=en&rclk=1
accommodation_ChIJv1lu9vqqNTERJEboJ8vYZw0,Diamond Westlake Suites,https://www.google.com/maps/place/Diamond+Westlake+Suites/data=!4m10!3m9!1s0x3135aafaf66e59bf:0xd67d8cb27e84624!5m2!4m1!1i2!8m2!3d21.0666667!4d105.8191667!16s%2Fg%2F1tfmkvz4!19sChIJv1lu9vqqNTERJEboJ8vYZw0?authuser=0&hl=en&rclk=1
accommodation_ChIJvT9p1umrNTER4yHEEhYi6ks,Dolce By Wyndham Hanoi Golden Lake,https://www.google.com/maps/place/Dolce+By+Wyndham+Hanoi+Golden+Lake/data=!4m10!3m9!1s0x3135abe9d6693fbd:0x4bea221612c421e3!5m2!4m1!1i2!8m2!3d21.0294804!4d105.8212561!16s%2Fg%2F11h4cyyqln!19sChIJvT9p1umrNTER4yHEEhYi6ks?authuser=0&hl=en&rclk=1
accommodation_ChIJVVUhoMCrNTERFbu5ZTYaPwM,Downtown Hostel & Rooftop Bar,https://www.google.com/maps/place/Downtown+Hostel+%26+Rooftop+Bar/data=!4m10!3m9!1s0x3135abc0a0215555:0x33f1a3665b9bb15!5m2!4m1!1i2!8m2!3d21.0348263!4d105.8526861!16s%2Fg%2F11s3b0hgbl!19sChIJVVUhoMCrNTERFbu5ZTYaPwM?authuser=0&hl=en&rclk=1
accommodation_dessert_ChIJE7x1ZnCsNTERj8kmL36NT6o,DUC TRONG HOTEL,https://www.google.com/maps/place/DUC+TRONG+HOTEL/data=!4m7!3m6!1s0x3135ac706675bc13:0xaa4f8d7e2f26c98f!8m2!3d21.0293125!4d105.7958125!16s%2Fg%2F1pv0mvvzp!19sChIJE7x1ZnCsNTERj8kmL36NT6o?authuser=0&hl=en&rclk=1
accommodation_ChIJqWTqnxirNTERWu5u_cK1E-Y,Duly's House Âu Cơ,https://www.google.com/maps/place/Duly%27s+House+%C3%82u+C%C6%A1/data=!4m7!3m6!1s0x3135ab189fea64a9:0xe613b5c2fd6eee5a!8m2!3d21.0751384!4d105.8214237!16s%2Fg%2F11sbdq16tw!19sChIJqWTqnxirNTERWu5u_cK1E-Y?authuser=0&hl=en&rclk=1
accommodation_ChIJkTkarvyrNTERCYbl-kniOU0,Dusit Le Palais Tu Hoa Hanoi,https://www.google.com/maps/place/Dusit+Le+Palais+Tu+Hoa+Hanoi/data=!4m10!3m9!1s0x3135abfcae1a3991:0x4d39e249fae58609!5m2!4m1!1i2!8m2!3d21.076366!4d105.8202689!16s%2Fg%2F11y9_6qn3j!19sChIJkTkarvyrNTERCYbl-kniOU0?authuser=0&hl=en&rclk=1
accommodation_ChIJ-49oTHdTNDERZ1Beea4FZ9A,D' villa Hotel Dương Nội,https://www.google.com/maps/place/D%27+villa+Hotel+D%C6%B0%C6%A1ng+N%C3%B4%CC%A3i/data=!4m10!3m9!1s0x313453774c688ffb:0xd06705ae795e5067!5m2!4m1!1i2!8m2!3d20.9783715!4d105.7605937!16s%2Fg%2F11qrvp25f1!19sChIJ-49oTHdTNDERZ1Beea4FZ9A?authuser=0&hl=en&rclk=1
accommodation_ChIJo4twKrWqNTERbJbsqX4bfKU,Ecohome1,https://www.google.com/maps/place/Ecohome1/data=!4m7!3m6!1s0x3135aab52a708ba3:0xa57c1b7ea9ec966c!8m2!3d21.0865176!4d105.7829322!16s%2Fg%2F11bymw4846!19sChIJo4twKrWqNTERbJbsqX4bfKU?authuser=0&hl=en&rclk=1
