id,name,link,source_count,sources
accommodation_ChIJpc-0HmStNTERw-ercVi_8p0,A25 Signature Hotel - 684 Minh Khai,https://www.google.com/maps/place/A25+Signature+Hotel+-+684+Minh+Khai/data=!4m10!3m9!1s0x3135ad641eb4cfa5:0x9df2bf5871abe7c3!5m2!4m1!1i2!8m2!3d21.000652!4d105.8710087!16s%2Fg%2F1pxwqdm8y!19sChIJpc-0HmStNTERw-ercVi_8p0?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/14919036619246364669.png"", ""name"": ""A25 Hotel - 684 Minh Khai"", ""price"": ""₫1,730,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/5bde3665-f4fd-4468-b4bf-dee085aaacce.png"", ""name"": ""HomeToGo"", ""price"": ""₫1,682,820""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫1,699,392""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/40113501-a8d1-41cf-942b-a2452edeb94f.png"", ""name"": ""Mytour"", ""price"": ""₫1,688,576""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫1,755,904""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/1264b392-0c69-44ec-8922-271868c67545.png"", ""name"": ""Skyscanner"", ""price"": ""₫1,742,592""}]"
accommodation_ChIJPX0v8JarNTERizl6YUwG558,Acoustic Hotel & Spa,https://www.google.com/maps/place/Acoustic+Hotel+%26+Spa/data=!4m10!3m9!1s0x3135ab96f02f7d3d:0x9fe7064c617a398b!5m2!4m1!1i2!8m2!3d21.0276833!4d105.8445803!16s%2Fg%2F11h2jv601c!19sChIJPX0v8JarNTERizl6YUwG558?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_default.png"", ""name"": ""Acoustic Hotel & Spa"", ""price"": ""₫2,313,360""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫1,364,288""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/297592521974050080.png"", ""name"": ""Vio.com"", ""price"": ""₫1,399,040""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/13393604315281765432.png"", ""name"": ""klook"", ""price"": ""₫1,469,248""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫1,399,023""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/10384618555932340059.png"", ""name"": ""Etrip.net"", ""price"": ""₫1,399,040""}]"
accommodation_ChIJx7xVYb-rNTERc4FQYhB7QfM,AIRA Boutique Hanoi Hotel & Spa,https://www.google.com/maps/place/AIRA+Boutique+Hanoi+Hotel+%26+Spa/data=!4m10!3m9!1s0x3135abbf6155bcc7:0xf3417b1062508173!5m2!4m1!1i2!8m2!3d21.0307215!4d105.8418808!16s%2Fg%2F11c5bs71_9!19sChIJx7xVYb-rNTERc4FQYhB7QfM?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/13393604315281765432.png"", ""name"": ""klook"", ""price"": ""₫1,491,008""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫1,464,790""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_220.png"", ""name"": ""Priceline"", ""price"": ""₫1,536,128""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫1,959,744""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫1,684,625""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫2,005,824""}]"
accommodation_ChIJQ5MA3wmrNTERV7sLCHspQDo,ALà Home,https://www.google.com/maps/place/AL%C3%A0+Home/data=!4m10!3m9!1s0x3135ab09df009343:0x3a40297b080bbb57!5m2!4m1!1i2!8m2!3d21.0528524!4d105.8350816!16s%2Fg%2F11jyk0grzd!19sChIJQ5MA3wmrNTERV7sLCHspQDo?authuser=0&hl=en&rclk=1,0,[]
accommodation_ChIJa4nDzGFTNDEROv1rhhpm8dM,1001 Urban Retreat,https://www.google.com/maps/place/1001+Urban+Retreat/data=!4m7!3m6!1s0x31345361ccc3896b:0xd3f1661a866bfd3a!8m2!3d20.9674279!4d105.7574311!16s%2Fg%2F11r9f1q_r3!19sChIJa4nDzGFTNDEROv1rhhpm8dM?authuser=0&hl=en&rclk=1,0,[]
travel_place_ChIJjdaqFhyrNTERR7032nCkLs0,22Land Moon West Lake - Studio Apartment,https://www.google.com/maps/place/22Land+Moon+West+Lake+-+Studio+Apartment/data=!4m11!3m10!1s0x3135ab1c16aad68d:0xcd2ea470da37bd47!5m2!4m1!1i2!8m2!3d21.0527096!4d105.8125!16s%2Fg%2F11md27fwq1!17BQ0FF!19sChIJjdaqFhyrNTERR7032nCkLs0?authuser=0&hl=en&rclk=1,0,[]
accommodation_ChIJzXg_Wj2rNTER-aC5f8-QXmM,22land Residence Hotel & Spa Hanoi,https://www.google.com/maps/place/22land+Residence+Hotel+%26+Spa+Hanoi/data=!4m10!3m9!1s0x3135ab3d5a3f78cd:0x635e90cf7fb9a0f9!5m2!4m1!1i2!8m2!3d21.045847!4d105.8049919!16s%2Fg%2F11gmwfgc6s!19sChIJzXg_Wj2rNTER-aC5f8-QXmM?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫781,504""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/6417d44c-c676-4b16-8ae9-f3bbeaa51899.png"", ""name"": ""vn.KAYAK.com"", ""price"": ""₫756,501""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫776,410""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫905,184""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/40113501-a8d1-41cf-942b-a2452edeb94f.png"", ""name"": ""Mytour"", ""price"": ""₫934,688""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫986,304""}]"
accommodation_ChIJHy8zd1yrNTERnSKIq8gyVxA,29 Homestay Cầu Giấy,https://www.google.com/maps/place/29+Homestay+C%E1%BA%A7u+Gi%E1%BA%A5y/data=!4m10!3m9!1s0x3135ab5c77332f1f:0x105732c8ab88229d!5m2!4m1!1i2!8m2!3d21.0200145!4d105.8000687!16s%2Fg%2F11l668k3l9!19sChIJHy8zd1yrNTERnSKIq8gyVxA?authuser=0&hl=en&rclk=1,3,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫600,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫600,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫609,984""}]"
accommodation_ChIJq6rjzHasNTER24FlLuJJIfE,Alley homestay,https://www.google.com/maps/place/Alley+homestay/data=!4m10!3m9!1s0x3135ac76cce3aaab:0xf12149e22e6581db!5m2!4m1!1i2!8m2!3d21.0022595!4d105.8445218!16s%2Fg%2F11t4f0d548!19sChIJq6rjzHasNTER24FlLuJJIfE?authuser=0&hl=en&rclk=1,4,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫285,216""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫284,833""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫305,712""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/5bde3665-f4fd-4468-b4bf-dee085aaacce.png"", ""name"": ""HomeToGo"", ""price"": ""₫305,804""}]"
accommodation_ChIJO5IdMywDNTERz2UHyqkyICQ,Amaya Retreat,https://www.google.com/maps/place/Amaya+Retreat/data=!4m10!3m9!1s0x3135032c331d923b:0x242032a9ca0765cf!5m2!4m1!1i2!8m2!3d21.290046!4d105.7842178!16s%2Fg%2F11tc1212wc!19sChIJO5IdMywDNTERz2UHyqkyICQ?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/8870031880741548334.png"", ""name"": ""Amaya Retreat"", ""price"": ""₫3,465,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫4,005,248""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫4,846,592""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/40113501-a8d1-41cf-942b-a2452edeb94f.png"", ""name"": ""Mytour"", ""price"": ""₫5,211,392""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/306127930749010778.png"", ""name"": ""Hotels.com"", ""price"": ""₫4,960,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/297592521974050080.png"", ""name"": ""Vio.com"", ""price"": ""₫4,665,856""}]"
