id,name,type,source_url
drink_dessert_ChIJQZa_BgCrNTERIKZqQhSfxgA,1000M,DrinkDessert,https://www.google.com/maps/place/1000M/data=!4m7!3m6!1s0x3135ab0006bf9641:0xc69f14426aa620!8m2!3d21.0329522!4d105.7920987!16s%2Fg%2F11nbh_zs20!19sChIJQZa_BgCrNTERIKZqQhSfxgA?authuser=0&hl=en&rclk=1
drink_dessert_ChIJbRSseQBVNDERlYIRqIIeIFE,1000M Tea & Coffee 2 Hàm Nghi,DrinkDessert,https://www.google.com/maps/place/1000M+Tea+%26+Coffee+2+H%C3%A0m+Nghi/data=!4m7!3m6!1s0x3134550079ac146d:0x51201e82a8118295!8m2!3d21.0352634!4d105.7645809!16s%2Fg%2F11njf1w03z!19sChIJbRSseQBVNDERlYIRqIIeIFE?authuser=0&hl=en&rclk=1
drink_dessert_ChIJAQuUNXurNTERgLZ6S1wpumg,1000M Tea & Coffee 33 Lê Đại Hành,DrinkDessert,https://www.google.com/maps/place/1000M+Tea+%26+Coffee+33+L%C3%AA+%C4%90%E1%BA%A1i+H%C3%A0nh/data=!4m7!3m6!1s0x3135ab7b35940b01:0x68ba295c4b7ab680!8m2!3d21.0109457!4d105.8486667!16s%2Fg%2F11wpfrg468!19sChIJAQuUNXurNTERgLZ6S1wpumg?authuser=0&hl=en&rclk=1
drink_dessert_ChIJ5-jWBiutNTERa9SCtoWxw0g,1000M Tea & Coffee 45 Nguyễn Thị Định,DrinkDessert,https://www.google.com/maps/place/1000M+Tea+%26+Coffee+45+Nguy%E1%BB%85n+Th%E1%BB%8B+%C4%90%E1%BB%8Bnh/data=!4m7!3m6!1s0x3135ad2b06d6e8e7:0x48c3b185b682d46b!8m2!3d21.0108377!4d105.8047172!16s%2Fg%2F11y5jt7ffs!19sChIJ5-jWBiutNTERa9SCtoWxw0g?authuser=0&hl=en&rclk=1
drink_dessert_ChIJkc-zZWarNTER1SClSzWs7rY,101 Cafe,DrinkDessert,https://www.google.com/maps/place/101+Cafe/data=!4m7!3m6!1s0x3135ab6665b3cf91:0xb6eeac354ba520d5!8m2!3d21.0205186!4d105.8105346!16s%2Fg%2F11cn9px72l!19sChIJkc-zZWarNTER1SClSzWs7rY?authuser=0&hl=en&rclk=1
drink_dessert_ChIJCx8-XiirNTER3lcpCrjxLoE,11 Present,DrinkDessert,https://www.google.com/maps/place/11+Present/data=!4m7!3m6!1s0x3135ab285e3e1f0b:0x812ef1b80a2957de!8m2!3d21.0378434!4d105.8461779!16s%2Fg%2F11kq4rj_t7!19sChIJCx8-XiirNTER3lcpCrjxLoE?authuser=0&hl=en&rclk=1
drink_dessert_ChIJsciIpParNTERHPsIopTJROQ,1+1 space,DrinkDessert,https://www.google.com/maps/place/1%2B1+space/data=!4m7!3m6!1s0x3135abf6a488c8b1:0xe444c994a208fb1c!8m2!3d21.0464564!4d105.8414935!16s%2Fg%2F11tsp5kr3t!19sChIJsciIpParNTERHPsIopTJROQ?authuser=0&hl=en&rclk=1
drink_dessert_ChIJydTLzCVVNDERp0QIHeFh_a0,12AM Café,DrinkDessert,https://www.google.com/maps/place/12AM+Caf%C3%A9/data=!4m7!3m6!1s0x31345525cccbd4c9:0xadfd61e11d0844a7!8m2!3d21.0802342!4d105.7751198!16s%2Fg%2F11kkz4dlm9!19sChIJydTLzCVVNDERp0QIHeFh_a0?authuser=0&hl=en&rclk=1
drink_dessert_ChIJZf4oHQCrNTERPritxMhpET8,1428 SPECIALTY COFFEE,DrinkDessert,https://www.google.com/maps/place/1428+SPECIALTY+COFFEE/data=!4m7!3m6!1s0x3135ab001d28fe65:0x3f1169c8c4adb83e!8m2!3d21.0254964!4d105.8528138!16s%2Fg%2F11ystv4rlh!19sChIJZf4oHQCrNTERPritxMhpET8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJF-f9brerNTERk9RQBb2e5bs,14’ Rooftop Bar,DrinkDessert,https://www.google.com/maps/place/14%E2%80%99+Rooftop+Bar/data=!4m7!3m6!1s0x3135abb76efde717:0xbbe59ebd0550d493!8m2!3d21.0432079!4d105.8437309!16s%2Fg%2F11pcch5csq!19sChIJF-f9brerNTERk9RQBb2e5bs?authuser=0&hl=en&rclk=1
drink_dessert_ChIJg4igUjitNTER4r8g3NdXWvY,1688+ cafe,DrinkDessert,https://www.google.com/maps/place/1688%2B+cafe/data=!4m7!3m6!1s0x3135ad3852a08883:0xf65a57d7dc20bfe2!8m2!3d20.9624372!4d105.8319677!16s%2Fg%2F11t2y1n1rm!19sChIJg4igUjitNTER4r8g3NdXWvY?authuser=0&hl=en&rclk=1
drink_dessert_ChIJiYTj54qtNTERmpWcvlv1vzM,1688+ Coffee & Tea,DrinkDessert,https://www.google.com/maps/place/1688%2B+Coffee+%26+Tea/data=!4m7!3m6!1s0x3135ad8ae7e38489:0x33bff55bbe9c959a!8m2!3d20.997927!4d105.7988835!16s%2Fg%2F11v0zx5pkj!19sChIJiYTj54qtNTERmpWcvlv1vzM?authuser=0&hl=en&rclk=1
drink_dessert_ChIJL0_DOa6rNTERTpDnM_1fasE,186 Coffee Roasters,DrinkDessert,https://www.google.com/maps/place/186+Coffee+Roasters/data=!4m7!3m6!1s0x3135abae39c34f2f:0xc16a5ffd33e7904e!8m2!3d21.0201587!4d105.8471469!16s%2Fg%2F11l6l4k09d!19sChIJL0_DOa6rNTERTpDnM_1fasE?authuser=0&hl=en&rclk=1
drink_dessert_ChIJP6OfHwCrNTER0OzKySp8uBg,186 The Coffee Stand,DrinkDessert,https://www.google.com/maps/place/186+The+Coffee+Stand/data=!4m7!3m6!1s0x3135ab001f9fa33f:0x18b87c2ac9caecd0!8m2!3d21.0409721!4d105.8482374!16s%2Fg%2F11yfkymrz9!19sChIJP6OfHwCrNTER0OzKySp8uBg?authuser=0&hl=en&rclk=1
drink_dessert_ChIJI20zGm6rNTERaaOyNQDqjb0,18 grams,DrinkDessert,https://www.google.com/maps/place/18+grams/data=!4m7!3m6!1s0x3135ab6e1a336d23:0xbd8dea0035b2a369!8m2!3d21.0185489!4d105.8079236!16s%2Fg%2F11svzh7g1g!19sChIJI20zGm6rNTERaaOyNQDqjb0?authuser=0&hl=en&rclk=1
